"","period","Major_att"
"1",2010-08-01,1138652
"2",2010-09-01,1150728
"3",2010-10-01,1163143
"4",2010-11-01,1111294.57142857
"5",2010-12-01,1159203.85714286
"6",2011-01-01,1133880.57142857
"7",2011-02-01,1053707.14285714
"8",2011-03-01,1225222
"9",2011-04-01,1197212.71428571
"10",2011-05-01,1221687.42857143
"11",2011-06-01,1168467.85714286
"12",2011-07-01,1211065.85714286
"13",2011-08-01,1135801.42857143
"14",2011-09-01,1162142.85714286
"15",2011-10-01,1200707.85714286
"16",2011-11-01,1134959.42857143
"17",2011-12-01,1141606.42857143
"18",2012-01-01,1137915.57142857
"19",2012-02-01,1120423
"20",2012-03-01,1263082.28571429
"21",2012-04-01,1149633.71428571
"22",2012-05-01,1251414.28571429
"23",2012-06-01,1222084.28571429
"24",2012-07-01,1248953.28571429
"25",2012-08-01,1197383.85714286
"26",2012-09-01,1178360.71428571
"27",2012-10-01,1214433.42857143
"28",2012-11-01,1167908
"29",2012-12-01,1202080.28571429
"30",2013-01-01,1149837.14285714
"31",2013-02-01,1085332.71428571
"32",2013-03-01,1226196.42857143
"33",2013-04-01,1199089.14285714
"34",2013-05-01,1229747.42857143
"35",2013-06-01,1191352.42857143
"36",2013-07-01,1281699.85714286
"37",2013-08-01,1189671.42857143
"38",2013-09-01,1156569.14285714
"39",2013-10-01,1199258.57142857
"40",2013-11-01,1139112.14285714
"41",2013-12-01,1172011.14285714
"42",2014-01-01,1142283.57142857
"43",2014-02-01,1084743.71428571
"44",2014-03-01,1269436.14285714
"45",2014-04-01,1213065.85714286
"46",2014-05-01,1287333.14285714
"47",2014-06-01,1265211.14285714
"48",2014-07-01,1302588.42857143
"49",2014-08-01,1188146.71428571
"50",2014-09-01,1221781.57142857
"51",2014-10-01,1250114.14285714
"52",2014-11-01,1205519.28571429
"53",2014-12-01,1241894.71428571
"54",2015-01-01,1124040.42857143
"55",2015-02-01,1072451.57142857
"56",2015-03-01,1251324.85714286
"57",2015-04-01,1206631.28571429
"58",2015-05-01,1254445.14285714
"59",2015-06-01,1249213
"60",2015-07-01,1271523
"61",2015-08-01,1215826
"62",2015-09-01,1221594
"63",2015-10-01,1261395
"64",2015-11-01,1236294
"65",2015-12-01,1232965
"66",2016-01-01,1250005
"67",2016-02-01,1218372
"68",2016-03-01,1350373
"69",2016-04-01,1214057
"70",2016-05-01,1353206
"71",2016-06-01,1282499
"72",2016-07-01,1353477
"73",2016-08-01,1254439
"74",2016-09-01,1277578
"75",2016-10-01,1317571
"76",2016-11-01,1258205
"77",2016-12-01,1277133
"78",2017-01-01,1237177
"79",2017-02-01,1127909
"80",2017-03-01,1309507
"81",2017-04-01,1253743
"82",2017-05-01,1347297
"83",2017-06-01,1296877
"84",2017-07-01,1348648
"85",2017-08-01,1256655
"86",2017-09-01,1263957
"87",2017-10-01,1325211
"88",2017-11-01,1281913
"89",2017-12-01,1289587
"90",2018-01-01,1257026
"91",2018-02-01,1151757
"92",2018-03-01,1299796
"93",2018-04-01,1246348
"94",2018-05-01,1354711
"95",2018-06-01,1306739
"96",2018-07-01,1365859
"97",2018-08-01,1252767
"98",2018-09-01,1269088
"99",2018-10-01,1320032
"100",2018-11-01,1305353
"101",2018-12-01,1307359
"102",2019-01-01,1344354
"103",2019-02-01,1234328
"104",2019-03-01,1373061
"105",2019-04-01,1330825
